prub,Fcislo,lok,Lokcode,loctyp,klimabox,Otemp_act,Oprec_act,TreatTemo,TreatPrec,Tmcomb,Treatment,length,weight,SRzL,,changeTc,changeMc,changemerged,changeT,changeM,SRzL,Total biomass,Total biomass log,Aboveground,koreny-vaha,rhi-del,rhi-vah,biomass excluding rhizome,total ramets,ramets per unit length,1odnoze extra-pocet,ext ramets per length,logext ramets per length
240,587,Ulv,T1_M1,ALP1,C,1,1,1,1,11,Cold_Dry,10.7,0.043,248.8372093,Mc,Tc0,Mc0,Tc0_Mc0,0,0,248.8372093,2.662,0.668572269,0.511,1.4,10.7,0.043,2.619,12,1.121495327,2,0.187915888,0.074785691
220,144,Vik,T3_M2,LOW2,C,3,2,1,1,11,Cold_Dry,42.2,0.0937,450.3735326,Mc,Tc-2,Mc-1,Tc-2_Mc-1,-2,-1,450.3735326,2.1407,0.617073766,0.49,1.204,42.2,0.0937,2.047,12,0.28436019,8,0.19057346,0.075756197
166,611,Alr,T2_M1,INT1,C,2,1,1,1,11,Cold_Dry,21,0.0622,337.6205788,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,337.6205788,1.9992,0.601973124,0.336,1.199,21,0.0622,1.937,7,0.333333333,4,0.19147619,0.076085368
130,550,Ulv,T1_M1,ALP1,C,1,1,1,1,11,Cold_Dry,24.6,0.064,384.375,Mc,Tc0,Mc0,Tc0_Mc0,0,0,384.375,3.096,0.707229419,0.344,2.191,24.6,0.064,3.032,9,0.365853659,5,0.204252033,0.080717388
98,524,Arh,T3_M3,LOW3,C,3,3,1,1,11,Cold_Dry,29.3,0.0999,293.2932933,Mc,Tc-2,Mc-2,Tc-2_Mc-2,-2,-2,293.2932933,2.7829,0.679691301,0.595,1.527,29.3,0.0999,2.683,12,0.409556314,6,0.205778157,0.081267412
237,438,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,38.2,0.11,347.2727273,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,347.2727273,3.607,0.748730556,0.475,2.483,38.2,0.11,3.497,13,0.340314136,8,0.210424084,0.082937556
182,426,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,18.2,0.0595,305.8823529,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,305.8823529,1.8855,0.589446913,0.279,1.125,18.2,0.0595,1.826,10,0.549450549,4,0.22078022,0.086637484
244,528,Arh,T3_M3,LOW3,C,3,3,1,1,11,Cold_Dry,9.1,0.0157,579.6178344,Mc,Tc-2,Mc-2,Tc-2_Mc-2,-2,-2,579.6178344,2.5357,0.656644322,0.607,1.522,9.1,0.0157,2.52,15,1.648351648,2,0.22078022,0.086637484
116,409,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,13.6,0.0491,276.9857434,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,276.9857434,2.6991,0.672014687,0.647,1.303,13.6,0.0491,2.65,11,0.808823529,3,0.221588235,0.086924842
31,318,Skje,T1_M4,ALP4,C,1,4,1,1,11,Cold_Dry,35.7,0.1023,348.973607,Mc,Tc0,Mc-3,Tc0_Mc-3,0,-3,348.973607,2.4203,0.645451745,0.331,1.695,35.7,0.1023,2.318,20,0.56022409,8,0.225089636,0.088167866
131,351,Ves,T2_M4,INT4,C,2,4,1,1,11,Cold_Dry,8.8,0.0095,926.3157895,Mc,Tc-1,Mc-3,Tc-1_Mc-3,-1,-3,926.3157895,4.9745,0.843513079,1.013,3.482,8.8,0.0095,4.965,13,1.477272727,2,0.228272727,0.089294809
161,249,Ram ,T2_M3,INT3,C,2,3,1,1,11,Cold_Dry,12.9,0.0273,472.5274725,Mc,Tc-1,Mc-2,Tc-1_Mc-2,-1,-2,472.5274725,3.1373,0.710734928,0.674,1.833,12.9,0.0273,3.11,13,1.007751938,3,0.23355814,0.091159623
106,219,Gud,T1_M3,ALP3,C,1,3,1,1,11,Cold_Dry,4,0.0044,909.0909091,Mc,Tc0,Mc-2,Tc0_Mc-2,0,-2,909.0909091,1.8694,0.587643627,0.41,1.105,4,0.0044,1.865,18,4.5,1,0.251,0.09725731
10,422,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,30.5,0.0615,495.9349593,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,495.9349593,2.5285,0.655954372,0.282,1.877,30.5,0.0615,2.467,13,0.426229508,8,0.263295082,0.101504805
197,372,Ves,T2_M4,INT4,C,2,4,1,1,11,Cold_Dry,7.3,0.0164,445.1219512,Mc,Tc-1,Mc-3,Tc-1_Mc-3,-1,-3,445.1219512,2.3774,0.641216234,0.218,1.516,7.3,0.0164,2.361,11,1.506849315,2,0.274972603,0.105500853
158,199,Gud,T1_M3,ALP3,C,1,3,1,1,11,Cold_Dry,7.1,0.026,273.0769231,Mc,Tc0,Mc-2,Tc0_Mc-2,0,-2,273.0769231,2.225,0.625826713,0.43,1.462,7.1,0.026,2.199,7,0.985915493,2,0.282690141,0.108121757
32,582,Ulv,T1_M1,ALP1,C,1,1,1,1,11,Cold_Dry,6.6,0.0113,584.0707965,Mc,Tc0,Mc0,Tc0_Mc0,0,0,584.0707965,1.0793,0.488452002,0.261,0.411,6.6,0.0113,1.068,10,1.515151515,2,0.304030303,0.115287684
214,74,Hog,T2_M2,INT2,C,2,2,1,1,11,Cold_Dry,6.6,0.015,440,Mc,Tc-1,Mc-1,Tc-1_Mc-1,-1,-1,440,2.594,0.662190991,0.569,1.698,6.6,0.015,2.579,5,0.757575758,2,0.304030303,0.115287684
49,594,Alr,T2_M1,INT1,C,2,1,1,1,11,Cold_Dry,18.3,0.0362,505.5248619,Mc,Tc-1,Mc0,Tc-1_Mc0,-1,0,505.5248619,3.1192,0.709202097,0.558,1.751,18.3,0.0362,3.083,14,0.765027322,6,0.328868852,0.123482122
